Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Present
Nourishing Shampoo,-1,5540659,Bare Anatomy Expert Ultra Smoothing Hair Mask & Shampoo Combo,Bare Anatomy,1206.0,1340.0,False
Nourishing Shampoo,-1,2722193,Sol de Janeiro Brazilian Joia Shampoo,Sol De Janeiro,2200.0,2200.0,False
Nourishing Shampoo,-1,71275,Kiehl’s Smoothing Oil-Infused Shampoo,Kiehl'S,2100.0,2100.0,False
Nourishing Shampoo,-1,11300,Vaadi Herbals Superbly Smoothing Heena Shampoo With Green Tea Extracts,Vaadi Herbals,225.0,225.0,False
Nourishing Shampoo,-1,11301,Vaadi Herbals Superbly Smoothing Heena Shampoo with Green Tea Extracts,Vaadi Herbals,95.0,95.0,False
Nourishing Shampoo,-1,2758831,Macadamia Natural Oil Smoothing Shampoo,Na,1800.0,1800.0,False
Nourishing Shampoo,-1,76273,Vaadi Herbals Superbly Smoothing Heena Shampoo With Olive Conditioner,Vaadi Herbals,195.0,195.0,False
Nourishing Shampoo,-1,11302,Vaadi Herbals Value Pack Of 3 Superbly Smoothing Heena Shampoo With Green Tea Extracts,Vaadi Herbals,278.0,278.0,False
Nourishing Shampoo,-1,627972,Moroccanoil Travel Smoothing Shampoo,Moroccanoil,900.0,900.0,False
Nourishing Shampoo,-1,72134,OGX Anti-Breakage Keratin Oil Shampoo & Conditioner,Ogx,1438.0,1598.0,False
Nourishing Shampoo,-1,5506748,Khadi Natural Anti-Breakage Hibiscus Aloe Vera Hair Oil Restores Natural Black Shinepowered Botanics,Khadi Natural,359.0,599.0,False
Nourishing Shampoo,-1,698060,Yves Rocher Repair Anti Breakage Fortifying Serum,Yves Rocher,790.0,790.0,False
Nourishing Shampoo,-1,2741177,Mystic Valley Coconut Chimera & Mineral Bays Anti Breakage & Soft Hair Conditioner,Mystic Valley,1140.0,1425.0,False
Nourishing Shampoo,-1,1411967,Minimalist 18% Hair Growth Actives Hair Serum For Reducing Hairfall & Growth,Minimalist,759.0,799.0,False
Nourishing Shampoo,-1,2689784,ThriveCo Hair Growth Serum,Thriveco,1200.0,1999.0,False
Nourishing Shampoo,-1,3908555,Protouch Biotin & Collagen Hair Growth Drops,Protouch,600.0,750.0,False
Nourishing Shampoo,-1,1022264,The Derma Co. Biotin & MultiVitamins for Hair Growth,The Derma Co,232.0,249.0,False
Nourishing Shampoo,-1,1500985,Pilgrim Redensyl & Anagain Advanced Hair Growth Serum,Pilgrim,808.0,850.0,False
Nourishing Shampoo,-1,4960819,Nykaa Naturals Scalp Massager Brush For Blood Circulation & Natural Hair Growth,Nykaa Naturals,399.0,499.0,False
Nourishing Shampoo,-1,2731191,"Keya Seth, Neem Wooden Comb Wide Tooth For Hair Growth For Men & Women All Purpose Small Size",Keya Seth,199.0,199.0,False
Nourishing Shampoo,-1,357142,Biotique Bio Kelp Protein Shampoo for Falling Hair Growth Treatment,Biotique,79.0,79.0,False
Nourishing Shampoo,-1,959831,Nykaa Naturals Onion & Fenugreek Hair Growth Paraben and Sulphate Free Shampoo,Nykaa Naturals,359.0,399.0,False
Nourishing Shampoo,-1,959836,Nykaa Naturals Onion & Fenugreek Hair Growth Paraben and Sulphate Free Conditioner,Nykaa Naturals,359.0,399.0,False
Nourishing Shampoo,-1,1171812,Nykaa Naturals Onion & Fenugreek Shampoo & Conditioner - Hair Growth Combo,Nykaa Naturals,599.0,798.0,False
Nourishing Shampoo,-1,3985405,Mamaearth Onion Scalp Serum With Onion & Biotin For Healthy Hair Growth,Mamaearth,278.0,299.0,False
Nourishing Shampoo,-1,3708427,Streak Street Hair Scalp Massager & Shampoo Brush - Smooch Pink - Promotes Hair Growth,Streak Street,179.0,300.0,False
Nourishing Shampoo,-1,347865,VILVAH Hair Growth Oil (Reverse Balding),Vilvah,618.0,650.0,False
Nourishing Shampoo,-1,421632,Wella Professionals INVIGO Damaged Hair Rescue,Wella Professionals,1311.0,1380.0,False
Nourishing Shampoo,-1,4712774,Garnier Fructis Hair Food - Nourishing Banana Hair Mask,Garnier,649.0,725.0,False
Nourishing Shampoo,-1,5950,Dove Intense Repair Shampoo,Dove,728.0,970.0,False
Nourishing Shampoo,-1,10970,L'Oreal Paris Total Repair 5 Shampoo,L'Oreal Paris,79.0,79.0,False
Nourishing Shampoo,-1,10229,Dove Intense Repair Conditioner,Dove,276.0,368.0,False
Nourishing Shampoo,-1,5506341,Nykaa Naturals Fermented Rice Water & Bamboo Shampoo Dry & Damaged Hair,Nykaa Naturals,359.0,399.0,False
Nourishing Shampoo,-1,804397,Schwarzkopf Professional Shampoo + Conditioner Combo - For Damaged Hair,Schwarzkopf Professional,1860.0,2000.0,False
Nourishing Shampoo,-1,1133793,Nykaa Naturals Fermented Rice Water & Bamboo Paraben & Sulphate Free Hair Mask - Dry & Damaged Hair,Nykaa Naturals,599.0,599.0,False
Nourishing Shampoo,-1,959832,Nykaa Naturals Fermented Rice Water & Bamboo Shampoo Dry & Damaged Hair,Nykaa Naturals,359.0,399.0,False
Nourishing Shampoo,-1,959837,Nykaa Naturals Fermented Rice Water & Bamboo Paraben & Sulphate Free Conditioner - Dry & Damaged Hair,Nykaa Naturals,359.0,399.0,False
Nourishing Shampoo,-1,13655,L'Oreal Paris Total Repair 5 Conditioner,L'Oreal Paris,209.0,209.0,False
Nourishing Shampoo,-1,2777818,Nykaa Naturals Fermented Rice Water & Bamboo Shampoo & Conditioner Combo For Dry & Damaged Hair,Nykaa Naturals,599.0,798.0,False
Nourishing Shampoo,-1,2777821,"Nykaa Naturals Fermented Rice Water Shampoo, Conditioner & Hair Mask Combo For Dry & Damaged Hair",Nykaa Naturals,978.0,1397.0,False
Nourishing Shampoo,-1,4898909,Bare Anatomy EXPERT Damage Repair Hair Mask For Dull & Damaged Hair With Ceramide A2,Bare Anatomy,685.0,745.0,False
Nourishing Shampoo,-1,4712772,Garnier Fructis Hair Food Smoothing Conditioner,Garnier,549.0,549.0,False
Nourishing Shampoo,-1,4618536,Bare Anatomy EXPERT Damage Repair Serum For Dry & Damaged Hair With Ceramide A2,Bare Anatomy,437.0,475.0,False
Nourishing Shampoo,-1,688699,Schwarzkopf Professional Bonacure Peptide Repair Rescue Micellar Shampoo + Conditioner + Mask + Serum - For Dry & Damaged Hair,Schwarzkopf Professional,3520.0,3785.0,False
Nourishing Shampoo,-1,5083400,Fable & Mane HoliRoots Repairing Hair Mask For Damaged Hair With Mango Butter Banana & Coconut Cream,Fable & Mane,2500.0,2500.0,False
Nourishing Shampoo,-1,418274,Nykaa Naturals Skin Secrets Exotic Indulgence Sheet Mask,Nykaa Naturals,85.0,100.0,False
Nourishing Shampoo,-1,4884174,Nykaa Naturals Skin Secrets Indian Rituals Sheet Mask,Nykaa Naturals,85.0,100.0,False
Nourishing Shampoo,-1,5544124,MCaffeine Exfoliating Coffee Body Scrub For Tan Removal & Soft-smooth Skin - 100% Natural & Vegan,Mcaffeine,379.0,449.0,False
Nourishing Shampoo,-1,875156,Neutrogena Hydro Boost Water Gel,Neutrogena,360.0,450.0,False
Nourishing Shampoo,-1,833283,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex (Serum),Estee Lauder,5900.0,5900.0,False
Nourishing Shampoo,-1,1068002,Minimalist 10% Vitamin C Serum For Face For Illuminating Skin For Beginners,Minimalist,629.0,699.0,False
Nourishing Shampoo,-1,1112060,L'Oreal Paris Revitalift 1.5% Hyaluronic Acid Serum,L'Oreal Paris,849.0,999.0,False
Nourishing Shampoo,-1,863854,Nykaa Naturals Face Wash,Nykaa Naturals,97.0,139.0,False
Nourishing Shampoo,-1,5003161,The Ordinary Hyaluronic Acid 2% + B5,The Ordinary,700.0,700.0,False
Nourishing Shampoo,-1,1467106,Minimalist 2% Salicylic Acid + LHA Cleanser With Zinc For Reducing Sebum & Acne,Minimalist,284.0,299.0,False
Nourishing Shampoo,-1,2793282,Dot & Key Vitamin C + E Super Bright Moisturizer,Dot & Key,476.0,595.0,False
Nourishing Shampoo,-1,542941,The Face Shop Real Nature Face Mask,The Face Shop,100.0,100.0,False
Nourishing Shampoo,-1,4884175,Nykaa Naturals Skin Secrets Active Skin Solutions Sheet Mask,Nykaa Naturals,100.0,100.0,False
Nourishing Shampoo,-1,822107,M.A.C Strobe Cream / Mini Hydratant Lumineux Pinklite,M.A.C,1100.0,1100.0,False
Nourishing Shampoo,-1,464331,TONYMOLY Pureness 100 Mask Sheet,Tonymoly,100.0,100.0,False
Anti Dryness,1,418274,Nykaa Naturals Skin Secrets Exotic Indulgence Sheet Mask,Nykaa Naturals,85.0,100.0,True
Anti Dryness,2,4884174,Nykaa Naturals Skin Secrets Indian Rituals Sheet Mask,Nykaa Naturals,85.0,100.0,True
Anti Dryness,3,5544124,MCaffeine Exfoliating Coffee Body Scrub For Tan Removal & Soft-smooth Skin - 100% Natural & Vegan,Mcaffeine,379.0,449.0,True
Anti Dryness,4,875156,Neutrogena Hydro Boost Water Gel,Neutrogena,360.0,450.0,True
Anti Dryness,5,833283,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex (Serum),Estee Lauder,5900.0,5900.0,True
Anti Dryness,6,1068002,Minimalist 10% Vitamin C Serum For Face For Illuminating Skin For Beginners,Minimalist,629.0,699.0,True
Anti Dryness,7,1112060,L'Oreal Paris Revitalift 1.5% Hyaluronic Acid Serum,L'Oreal Paris,849.0,999.0,True
Anti Dryness,8,10509,LOreal Professionnel X-Tenso Care Masque,L'Oreal Professionnel,720.0,720.0,True
Anti Dryness,9,3985404,Mamaearth Onion Shampoo For Hair Growth & Hair Fall Control With Onion & Plant Keratin,Mamaearth,849.0,999.0,True
Anti Dryness,10,863854,Nykaa Naturals Face Wash,Nykaa Naturals,97.0,139.0,True
Anti Dryness,11,5003161,The Ordinary Hyaluronic Acid 2% + B5,The Ordinary,700.0,700.0,True
Anti Dryness,12,1467106,Minimalist 2% Salicylic Acid + LHA Cleanser With Zinc For Reducing Sebum & Acne,Minimalist,284.0,299.0,True
Anti Dryness,13,2793282,Dot & Key Vitamin C + E Super Bright Moisturizer,Dot & Key,476.0,595.0,True
Anti Dryness,14,542941,The Face Shop Real Nature Face Mask,The Face Shop,100.0,100.0,True
Anti Dryness,15,4884175,Nykaa Naturals Skin Secrets Active Skin Solutions Sheet Mask,Nykaa Naturals,100.0,100.0,True
Anti Dryness,16,10508,L'Oreal Professionnel X-Tenso Care Serum,L'Oreal Professionnel,630.0,630.0,True
Anti Dryness,17,822107,M.A.C Strobe Cream / Mini Hydratant Lumineux Pinklite,M.A.C,1100.0,1100.0,True
Anti Dryness,18,464331,TONYMOLY Pureness 100 Mask Sheet,Tonymoly,100.0,100.0,True
Anti Dryness,19,348870,Nykaa Naturals Essential Oil,Nykaa Naturals,245.0,350.0,True
Anti Dryness,20,28359,Kama Ayurveda Bringadi Intensive Hair Treatment Oil,Kama Ayurveda,450.0,450.0,True
Anti Dryness,-1,5597748,Anomaly Clarifying Shampoo for Deep Cleanse with Charcoal & Eucalyptus,Anomaly,750.0,750.0,False
Anti Dryness,-1,4916205,Bare Anatomy EXPERT Ultra Smoothening Shampoo For Smooth & Shiny Hair With Niacinamide,Bare Anatomy,553.0,595.0,False
Anti Dryness,-1,208997,Tresemme Keratin Smooth With Argan Oil Shampoo,Tresemme,713.0,950.0,False
Anti Dryness,-1,6671067,L'Oreal Paris Hyaluron Moisture 72H Moisture Filling Shampoo,L'Oreal Paris,875.0,1029.0,False
Anti Dryness,-1,158920,Matrix Opti Care Professional Ultra Smoothing Shampoo,Matrix,360.0,360.0,False
Anti Dryness,-1,18402,"L'Oreal Professionnel Absolut Repair Shampoo with Protein and Gold Quinoa, Serie Expert",L'Oreal Professionnel,695.0,695.0,False
Anti Dryness,-1,5360837,Herbal Essences Argan Oil Of Morocco Shampoo - For Frizz Free Hair - Paraben Free,Herbal Essences,390.0,600.0,False
Anti Dryness,-1,5597747,Anomaly Hydrating Shampoo for Dull & Dry Hair with Coconut Oil & Aloe Vera,Anomaly,750.0,750.0,False
Anti Dryness,-1,1162179,L'Oreal Paris Dream Lengths Shampoo,L'Oreal Paris,175.0,175.0,False
Anti Dryness,-1,5506340,Nykaa Naturals Onion & Fenugreek Hair Growth Paraben and Sulphate Free Shampoo,Nykaa Naturals,359.0,399.0,False
