ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
1507008,Biotique Onion Shampoo & Hair Oil Combo,Biotique,482,950,,4.2,NA,NA,660,482,951,0,1,,
730009,Biotique Bio Henna Leaf Fresh Texture Shampoo & Conditioner - Pack Of 2,Biotique,126,991,,,NA,NA,158,126,989,0,1,Combos @ Nykaa,
730080,Biotique Bio Henna Leaf Fresh Texture Shampoo & Conditioner - Pack Of 2,Biotique,158,,7,4.2,NA,NA,198,158,,0,1,Combos @ Nykaa,
159799,Biotique Hair Regime For Oily Hair,Biotique,417,,6,4.2,NA,NA,529,529,,0,1,,
1506999,Biotique Onion Range Combo,Biotique,664,,,4.3,NA,NA,910,664,,0,1,,
159798,Biotique Hair Regime For Dry Hair,Biotique,426,,5,4,NA,NA,583,426,,0,1,,
598186,Biotique Bio Apple Blossom Shampoo For Disney Kids,Biotique,128,273,87,4.5,NA,NA,169,169,274,0,1,Hair Care,
730035,Biotique Bio Soya Protein Fresh Nourishing Shampoo - Pack Of 2,Biotique,126,,4,5,NA,NA,158,126,,0,1,Combos @ Nykaa,
730008,Biotique Bio Green Apple Shampoo & Conditioner - Pack of 2,Biotique,134,,9,4.8,NA,NA,158,158,,0,1,Combos @ Nykaa,
730007,Biotique Bio Walnut Bark Volumizing Shampoo - Pack of 2,Biotique,142,,2,4.5,NA,NA,158,158,,0,1,Combos @ Nykaa,
1506997,Biotique Total Anti-hairfall Essentails Combo,Biotique,613,,,4.2,NA,NA,778,778,,0,1,,
357142,Biotique Bio Kelp Protein Shampoo for Falling Hair Growth Treatment,Biotique,329,45,4506,4.1,NA,NA,450,79,46,0,1,Shampoo,
516572,Biotique Bio Neem Margosa Anti-Dandruff Shampoo & Conditioner,Biotique,329,96,1531,4.2,NA,NA,450,89,98,0,1,Shampoo,
357134,Biotique Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner,Biotique,438,110,1088,4.2,NA,NA,600,155,112,0,1,Shampoo,
386434,Biotique Bio Soya Protein Fresh Nourishing Shampoo,Biotique,338,182,620,4.2,NA,NA,450,155,182,0,1,Shampoo,
464872,Biotique Bio Walnut Bark Volumizing Shampoo For Fine & Thinning Hair,Biotique,329,241,373,4.2,NA,NA,450,450,240,0,1,Shampoo,
952740,Biotique Advanced Organics Onion Black Seed Shampoo,Biotique,251,285,175,4.3,NA,NA,330,330,285,0,1,Shampoo,
464868,Biotique Bio Henna Leaf Fresh Texture Shampoo & Conditioner,Biotique,342,296,225,4.3,NA,NA,450,79,290,0,1,Shampoo,
1507000,Biotique Monsoon Haircare Combo,Biotique,440,343,34,4.2,NA,NA,593,440,340,0,1,,
