Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
men kurta set,-1,B09W43CFTW,Gauri Laxmi Enterprise Men's Cotton Blend Straight Kurta,,279,1499,Fulfilled,,False
men kurta set,-1,B08KZYSB8T,Rajubhai Hargovindas Men's White Fine Cotton Long Kurta | Round Neck | 10 Colours |,,699,1499,Fulfilled,,False
men kurta set,-1,B0BPCR1RRK,"Manthan Men's Kurta, Mandarin Collar Full Sleeves Ethnic Knee Length Kurta for Festival, Wedding, Party Cotton",,319,799,Fulfilled,,False
men kurta set,-1,B0BPCVCDSV,"Manthan Men's Kurta, Mandarin Collar Full Sleeves Ethnic Knee Length Kurta for Festival, Wedding, Party Blended Viscose",,599,1499,Fulfilled,,False
men kurta set,-1,B0B5PPTWWV,Enmozz® Multi Colored Cotton Plain Men's Ethnic Kurta Only,,,,NA,,False
men kurta set,-1,B09G6Q6SVG,"Bewakoof Men's Solid 100% Cotton Kurta - Relaxed Fit, Mandarin Collar, Full Sleeves",,719,1499,Fulfilled,,False
men kurta set,-1,B08TNYYR36,Amazon Brand - Symbol Men Cotton Long Kurta,,729,2299,Fulfilled,,False
men kurta set,-1,B0BPCN8WH7,"Manthan Men's Kurta, Mandarin Collar Full Sleeves Ethnic Knee Length Kurta for Festival, Wedding, Party Art Silk",,860,999,Fulfilled,,False
men kurta set,-1,B09NP4S9F4,Amazon Brand - Symbol Cotton Regular Men's Kurtas,,749,2399,Fulfilled,,False
men kurta set,-1,B08CNG4J8N,U-TURN Men's Cotton Regular Short Kurta Shirt,,298,1499,Fulfilled,,False
men kurta set,-1,B0BB758X97,GauriLaxmi Enterprise Cotton Blend Solid Kurta for Men,,279,1499,Fulfilled,,False
men kurta set,-1,B08R1KX3L3,Jompers Men's Cotton Straight Kurta (KOO_561Maroon),,950,2499,Fulfilled,,False
men kurta set,-1,B09WYFL22T,ABH LIFESTYLE Men's Solid Rich Cotton Blend Straight Casual Kurtas Combo-2.,,899,1999,NA,,False
men kurta set,-1,B0BTNL6P79,ashtang Men Plain Kurta,,279,1499,Fulfilled,,False
men kurta set,-1,B0BM5NXQVT,Jompers Men's Chikankari Embroidered and Sequence Kurta with Churidar,,1804,4499,Fulfilled,,False
men kurta set,-1,B0BNY94WMQ,Gauri Laxmi Enterprise Men Lining Kurta,,299,1499,Fulfilled,,False
men kurta set,-1,B0B5MX33PJ,Majestic Man Cotton Solid Designer Regular Short Kurta for Men,,399,1499,NA,,False
men kurta set,-1,B0B6R3NGKW,Majestic Man Cotton Printed Designer Short Kurta for Men,,399,1499,Fulfilled,,False
men kurta set,-1,B0B9HLV8HH,FINIVO FASHION Men's Cotton Full Sleeve Short Kurta,,599,2599,Fulfilled,,False
men kurta set,-1,B07B4D25WW,Enchanted Drapes Men's Cotton Regular Kurta,,699,1300,Fulfilled,,False
men kurta set,-1,B08Q4J6Q7T,Amazon Brand - Symbol Cotton Regular Men's Kurtas,,671,2299,Fulfilled,,False
men kurta set,-1,B09XHT6D7S,rytras Men's Cotton Printed Straight Kurta,,519,1299,Fulfilled,,False
men kurta set,-1,B095HDJKSF,Amayra Men's Cotton Printed Straight Kurta (Blue),,499,1999,Fulfilled,,False
men kurta set,-1,B0B2163QC5,Miraan Men's Casual Cotton Short Kurta Shirt with Mandarin Collar (SIGSHORTKURTA),,529,2567,Fulfilled,,False
men kurta set,-1,B09X6Q37Z2,Majestic Man Cotton Solid Casual Short Kurta for Men,,399,1499,Fulfilled,,False
men kurta set,-1,B0BQQG1Z8T,Gauri Laxmi Enterprise Men's Cotton Blend Yellow Haldi Special Kurta,,258,1499,Fulfilled,,False
men kurta set,-1,B0BMXHRP5R,Gauri Laxmi Enterprise Men's Cotton Blend Foil Print Kurta,,338,1499,Fulfilled,,False
men kurta set,-1,B09B2KWQ7B,VROJASS Men's Fullsleeve Solid Cotton Kurta,,499,1599,NA,,False
men kurta set,-1,B0B4WG2Q6Z,Amazon Brand - Symbol Men Men's Kurtas,,829,2699,Fulfilled,,False
men kurta set,-1,B01M6UCRUB,Royal Men's Jodhpuri Indo Western Sherwani,,2414,5499,Fulfilled,,False
men kurta set,-1,B0BCWXD976,Luxrio Men Kurta,,339,999,Fulfilled,,False
men kurta set,-1,B0BWYL7ZD2,LookMark Men's Cotton Blend Straight Kurta,,279,1495,Fulfilled,,False
men kurta set,-1,B08Q4FWRH1,Amazon Brand - Symbol Cotton Regular Men's Kurtas,,728.32,2499,Fulfilled,,False
men kurta set,-1,B016ZQJQ2K,Royal Kurta Mens Silk Black Blend Jodhpuri Indowestern Sherwani,,3044,5499,Fulfilled,,False
men kurta set,-1,B0BXH8V9B3,XEPON Indo Western Sherwani Set For Men,,1499,2999,NA,,False
men kurta set,-1,B0BXH4FWGD,XEPON Indo Western Sherwani Set For Men,,1799,2999,NA,,False
men kurta set,-1,B08335BBK2,AJ DEZINES® Kids Indo Western Sherwani Set For Boys,,1049,3499,Fulfilled,,False
