ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
6790017,L'Oreal Paris Dream Lengths Shampoo With Detangling Conditioner Free,L'Oreal Paris,729.0,219.0,3,4.6,NA,NA,948.0,729.0,228.0,0.0,1.0,Shampoo,
906457,L'Oreal Paris Bestseller's Regime Nourishment Kit,L'Oreal Paris,1207.0,308.0,30,4.5,NA,NA,1207.0,1207.0,314.0,0.0,1.0,Combos @ Nykaa,
391197,L'Oreal Paris Fall Resist 3X Anti-Hairfall Shampoo,L'Oreal Paris,454.0,260.0,183,4.4,NA,NA,649.0,454.0,278.0,0.0,1.0,Shampoo,
4749763,L'Oreal Paris Excellence Creme Hair Color Shade 4 - Natural Brown + Colour Protect Shampoo,L'Oreal Paris,670.0,399.0,2,4.5,NA,NA,839.0,670.0,400.0,0.0,1.0,,
6790016,L'Oreal Paris Total Repair 5 Shampoo With Keratin With Reparing Conditioner Free,L'Oreal Paris,699.0,379.0,,4.4,NA,NA,908.0,699.0,387.0,0.0,1.0,Shampoo,
7286093,L'Oreal Paris Hyaluron Moisture 2-step Routine Hyaluron Moisture Shampoo + Conditioner,L'Oreal Paris,911.0,387.0,,4.4,NA,NA,1268.0,911.0,405.0,0.0,1.0,Hair,
1504363,L'Oreal Paris Extraordinary Hair Kit,L'Oreal Paris,1427.0,528.0,18,4.5,NA,NA,1427.0,1427.0,538.0,0.0,1.0,Combos @ Nykaa,
4749761,L'Oreal Paris Excellence Creme Hair Color Shade 1 - Black + Colour Protect Shampoo,L'Oreal Paris,670.0,662.0,2,4.4,NA,NA,839.0,670.0,677.0,0.0,1.0,,
4749762,L'Oreal Paris Excellence Creme Hair Color Shade 3 - Darkest Brown + Colour Protect Shampoo,L'Oreal Paris,670.0,697.0,2,4.5,NA,NA,839.0,670.0,735.0,0.0,1.0,,
936402,L'Oreal Paris 6 Oil Nourish Shampoo 704ml With Conditioner 192.5ml,L'Oreal Paris,515.0,,20,4.4,NA,NA,739.0,515.0,,0.0,1.0,Hair Care,
4749764,L'Oreal Paris Casting Creme Gloss Hair Color 200 Ebony Black + Colour Protect Shampoo,L'Oreal Paris,559.0,,4,4.4,NA,NA,700.0,559.0,,0.0,1.0,,
4749758,L'Oreal Paris Extraordinary Oil Combo,L'Oreal Paris,569.0,,14,4.4,NA,NA,763.0,569.0,,0.0,1.0,Combos @ Nykaa,
3900023,L'Oreal Paris Extraordinary Hair Care Kit,L'Oreal Paris,408.0,,6,4.4,NA,NA,707.0,408.0,,0.0,1.0,,
4749759,L'Oreal Paris Long Hair Dreams Kit: Shampoo + Conditioner + No Haircut Cream,L'Oreal Paris,845.0,,11,4.3,NA,NA,937.0,845.0,,0.0,1.0,,
936399,L'Oreal Paris Total Repair 5 Shampoo 396ml With Conditioner 192.5ml,L'Oreal Paris,349.0,,44,4.4,NA,NA,464.0,349.0,,0.0,1.0,Hair Care,
3645239,L'Oreal Paris Extraordinary Hair Nourishment Kit,L'Oreal Paris,408.0,,2,4.4,NA,NA,707.0,408.0,,0.0,1.0,,
5360366,L'Oreal Paris Total Repair 5 Shampoo With Rapid Reviver Deep Conditioner & Total Repair 5 Serum,L'Oreal Paris,415.0,,1,4.4,NA,NA,815.0,415.0,,0.0,1.0,,
4766171,L'Oreal Paris Extraordinary Oil Premium Regime Kit For Smooth Hair,L'Oreal Paris,1998.0,,1,4.4,NA,NA,2297.0,1998.0,,0.0,1.0,,
3534901,L'Oreal Paris Extraordinary Hair Kit,L'Oreal Paris,608.0,,8,4.4,NA,NA,907.0,608.0,,0.0,1.0,,
3534905,L'Oreal Paris Voluminous Dream Lengths Shampoo + No Haircut Cream + Extraordinary Oil Serum 30ml,L'Oreal Paris,848.0,,5,4.4,NA,NA,1147.0,848.0,,0.0,1.0,,
5360364,L'Oreal Paris Skin & Haircare Combo - Revitalift 1.5% Hyaluronic Acid Serum & Total Repair 5 Shampoo,L'Oreal Paris,499.0,,1,4.2,NA,NA,899.0,499.0,,0.0,1.0,Combos @ Nykaa,
4766172,L'Oreal Paris Extraordinary Oil Combo For Smooth Frizz-free Hair,L'Oreal Paris,1398.0,,2,4.4,NA,NA,1697.0,1398.0,,0.0,1.0,,
5360365,"L'Oreal Paris Total Repair 5 Shampoo, Pack Of 2",L'Oreal Paris,540.0,,,4.4,NA,NA,940.0,540.0,,0.0,1.0,,
5610739,L'Oreal Paris Extraordinary Oil Smooth Shampoo & Serum Kit,L'Oreal Paris,999.0,,1,4.4,NA,NA,1298.0,999.0,,0.0,1.0,,
25555,L'Oreal Paris Fall Resist Anti-Dandruff Shampoo,L'Oreal Paris,150.0,,495,4.3,NA,NA,150.0,150.0,,0.0,1.0,Shampoo,
110459,L'Oreal Paris Excellence Creme Hair Color - 1 Black + Free Total Repair 5 Shampoo,L'Oreal Paris,620.0,,9,4.3,NA,NA,620.0,620.0,,0.0,1.0,,
452483,LOreal Paris Total Repair 5 Combo - Shampoo + Free Conditioner + Free Serum worth Rs 349,L'Oreal Paris,540.0,,747,4.3,NA,NA,540.0,540.0,,0.0,1.0,,
1507007,Biotique Onion Haircare Range Combo,Biotique,664.0,726.0,14,4.3,NA,NA,910.0,664.0,734.0,0.0,1.0,,
1507005,Biotique Argan Haircare Range Combo,Biotique,905.0,737.0,16,4.2,NA,NA,1240.0,905.0,767.0,0.0,1.0,,
730074,Biotique Bio Walnut Bark Volumizing Shampoo - Pack of 2,Biotique,145.0,821.0,8,4.0,NA,NA,198.0,145.0,837.0,0.0,1.0,Combos @ Nykaa,
39954,Biotique Bio Neem Margosa Anti - Dandurff Shampoo & Conditioner,Biotique,509.0,887.0,32,4.0,NA,NA,670.0,509.0,892.0,0.0,1.0,Shampoo,
1507009,Biotique Banana Shampoo & Hair Mask Combo,Biotique,423.0,834.0,6,4.3,NA,NA,580.0,423.0,846.0,0.0,1.0,,
598064,Biotique Bhringraj & Kelp Protein Anti-Hair Fall Combo Oil & Shampoo,Biotique,232.0,897.0,8,4.4,NA,NA,314.0,232.0,908.0,0.0,1.0,Combos @ Nykaa,
159796,Biotique Hair Regime For Coloured Hair,Biotique,348.0,975.0,3,3.0,NA,NA,477.0,348.0,971.0,0.0,1.0,,
1507006,Biotique Argan Shampoo & Conditioner Combo,Biotique,482.0,924.0,12,3.8,NA,NA,660.0,482.0,935.0,0.0,1.0,,
1507008,Biotique Onion Shampoo & Hair Oil Combo,Biotique,482.0,884.0,6,4.3,NA,NA,660.0,482.0,913.0,0.0,1.0,,
730009,Biotique Bio Henna Leaf Fresh Texture Shampoo & Conditioner - Pack Of 2,Biotique,126.0,995.0,7,4.7,NA,NA,158.0,126.0,988.0,0.0,1.0,Combos @ Nykaa,
730080,Biotique Bio Henna Leaf Fresh Texture Shampoo & Conditioner - Pack Of 2,Biotique,158.0,,7,4.2,NA,NA,198.0,158.0,,0.0,1.0,Combos @ Nykaa,
159799,Biotique Hair Regime For Oily Hair,Biotique,417.0,,6,4.7,NA,NA,529.0,417.0,,0.0,1.0,,
1506999,Biotique Onion Range Combo,Biotique,664.0,,10,4.3,NA,NA,910.0,664.0,,0.0,1.0,,
159798,Biotique Hair Regime For Dry Hair,Biotique,426.0,,5,3.8,NA,NA,583.0,426.0,,0.0,1.0,,
598186,Biotique Bio Apple Blossom Shampoo For Disney Kids,Biotique,128.0,279.0,88,4.5,NA,NA,169.0,128.0,275.0,0.0,1.0,Hair Care,
730035,Biotique Bio Soya Protein Fresh Nourishing Shampoo - Pack Of 2,Biotique,126.0,,4,5.0,NA,NA,158.0,126.0,,0.0,1.0,Combos @ Nykaa,
730008,Biotique Bio Green Apple Shampoo & Conditioner - Pack of 2,Biotique,134.0,,9,4.8,NA,NA,158.0,134.0,,0.0,1.0,Combos @ Nykaa,
730007,Biotique Bio Walnut Bark Volumizing Shampoo - Pack of 2,Biotique,142.0,,2,4.5,NA,NA,158.0,142.0,,0.0,1.0,Combos @ Nykaa,
1506997,Biotique Total Anti-hairfall Essentails Combo,Biotique,613.0,,7,4.2,NA,NA,778.0,613.0,,0.0,1.0,,
357142,Biotique Bio Kelp Protein Shampoo for Falling Hair Growth Treatment,Biotique,329.0,41.0,4510,4.1,NA,NA,450.0,329.0,43.0,0.0,1.0,Shampoo,
516572,Biotique Bio Neem Margosa Anti-Dandruff Shampoo & Conditioner,Biotique,329.0,94.0,1532,4.2,NA,NA,450.0,329.0,101.0,0.0,1.0,Shampoo,
357134,Biotique Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner,Biotique,438.0,108.0,1846,4.2,NA,NA,600.0,438.0,114.0,0.0,1.0,Shampoo,
386434,Biotique Bio Soya Protein Fresh Nourishing Shampoo,Biotique,236.0,177.0,621,4.2,NA,NA,299.0,338.0,184.0,0.0,1.0,Shampoo,
464872,Biotique Bio Walnut Bark Volumizing Shampoo For Fine & Thinning Hair,Biotique,329.0,235.0,625,4.2,NA,NA,450.0,329.0,243.0,0.0,1.0,Shampoo,
952740,Biotique Advanced Organics Onion Black Seed Shampoo,Biotique,251.0,276.0,227,4.3,NA,NA,330.0,251.0,287.0,0.0,1.0,Shampoo,
464868,Biotique Bio Henna Leaf Fresh Texture Shampoo & Conditioner,Biotique,342.0,293.0,351,4.2,NA,NA,450.0,342.0,300.0,0.0,1.0,Shampoo,
1507000,Biotique Monsoon Haircare Combo,Biotique,440.0,342.0,35,4.2,NA,NA,593.0,440.0,347.0,0.0,1.0,,
952745,Biotique Advanced Organics Argan Oil From Morocco Shampoo,Biotique,251.0,437.0,114,4.1,NA,NA,330.0,251.0,446.0,0.0,1.0,Shampoo,
739751,Biotique Bio Kelp Shampoo & Thyme Volume Conditioner,Biotique,334.0,479.0,29,4.2,NA,NA,449.0,334.0,480.0,0.0,1.0,Combos @ Nykaa,
598207,Biotique Disney Kids Cars Apple Twist Shampoo,Biotique,144.0,485.0,27,4.4,NA,NA,169.0,144.0,471.0,0.0,1.0,Hair Care,
60315,Biotique Disney Baby Bio Green Apple Tearproof Shampoo,Biotique,149.0,523.0,62,4.5,NA,NA,175.0,149.0,529.0,0.0,1.0,Shampoo & Conditioner,
1506989,Biotique Hairfall Protection Combo For Fine/thinning Hair,Biotique,334.0,522.0,5,4.6,NA,NA,449.0,334.0,539.0,0.0,1.0,,
952743,Biotique Advanced Organics Banana Deeply Nourishing Shampoo,Biotique,251.0,508.0,50,4.3,NA,NA,330.0,251.0,520.0,0.0,1.0,Shampoo,
1506996,Biotique Total Anti-hairfall Essentails Combo For Fine/thinning Hair,Biotique,618.0,555.0,22,4.2,NA,NA,793.0,618.0,567.0,0.0,1.0,,
730077,Biotique Bio Kelp Protein Shampoo for Hair Growth Treatment -Pack of 2,Biotique,158.0,578.0,18,4.0,NA,NA,198.0,158.0,586.0,0.0,1.0,Combos @ Nykaa,
730070,Biotique Bio Green Apple Shampoo & Conditioner - Pack of 2,Biotique,145.0,590.0,27,4.1,NA,NA,198.0,145.0,598.0,0.0,1.0,Combos @ Nykaa,
730113,Biotique Bio Neem Margosa Anti-Dandruff Shampoo & Conditioner - Pack Of 2,Biotique,158.0,658.0,21,4.1,NA,NA,198.0,158.0,669.0,0.0,1.0,Combos @ Nykaa,
730082,Biotique Bio Soya Protein Fresh Nourishing Shampoo - Pack Of 2,Biotique,152.0,679.0,7,4.1,NA,NA,198.0,152.0,688.0,0.0,1.0,Combos @ Nykaa,
952749,Biotique Advanced Organics Apple Cider Vinegar Clarify & Shine Shampoo,Biotique,251.0,770.0,53,4.2,NA,NA,330.0,251.0,785.0,0.0,1.0,Shampoo,
1488673,Tresemme Smooth & Shine Shampoo + Conditioner,Tresemme,649.0,516.0,7,4.5,NA,NA,955.0,649.0,521.0,0.0,1.0,,
1488672,Tresemme Keratin Smooth Shampoo + Conditioner,Tresemme,660.0,449.0,8,4.6,NA,NA,1065.0,629.0,459.0,0.0,1.0,,
3535712,Tresemme Thick & Full Shampoo + Conditioner,Tresemme,606.0,563.0,9,4.7,NA,NA,840.0,606.0,581.0,0.0,1.0,,
430560,Tresemme Keratin Smooth Combo (Buy 1Ltr Shampoo and Get 190ml Conditioner Free),Tresemme,819.0,545.0,148,4.5,NA,NA,1170.0,819.0,554.0,0.0,1.0,Combos @ Nykaa,
