ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B07ZQDFG9R,Shiv Shankar Prasad,5.0 out of 5 stars,Good,07/11/2022 00:00,India,,Happy to see this product mast packing  but gating so late for this moment baki sab thik hai bhai ji,product mast packing,0.762304485,0.600000024,0.600000024,Packaging
B07ZQDFG9R,Shiv Shankar Prasad,5.0 out of 5 stars,Good,07/11/2022 00:00,India,,Happy to see this product mast packing  but gating so late for this moment baki sab thik hai bhai ji,thik hai bhai ji,0.237695545,0.600000024,0.600000024,
B07ZQDFG9R,Sarah,5.0 out of 5 stars,Star of my kart,05/11/2022 00:00,India,,Good offer for this range,offer,0.650711954,0.800000012,0.800000012,
B07ZQDFG9R,Sarah,5.0 out of 5 stars,Star of my kart,05/11/2022 00:00,India,,Good offer for this range,range,0.349288046,0.5,0.5,
B07ZQDFG9R,shambhu shambhu soni,5.0 out of 5 stars,एक बेहतरीन डिटर्जेंट पाउडर,04/11/2022 00:00,India,,टाईड डिटर्जेंट पाउडर हाथों को नुक्सान नहीं पहुंचाता है एवं कपड़ों कि चमक बनाए रखने में मदद करता है।,टाईड डिटर्जेंट पाउडर हाथों को नुक्सान नहीं पहुंचाता है एवं कपड़ों कि चमक बनाए रखने में मदद करता,1,0.100000001,0.100000001,
B07ZQDFG9R,RP,5.0 out of 5 stars,Got it on deal.,29/10/2022 00:00,India,,"Super duper price , and using Tide past 9 years . It really cleans all my bed sheets , covers ,curtain superb product.",Super duper price,0.668013811,0.400000006,0.400000006,Pricing
B07ZQDFG9R,RP,5.0 out of 5 stars,Got it on deal.,29/10/2022 00:00,India,,"Super duper price , and using Tide past 9 years . It really cleans all my bed sheets , covers ,curtain superb product.",Tide,0.180251718,0.5,0.5,
B07ZQDFG9R,RP,5.0 out of 5 stars,Got it on deal.,29/10/2022 00:00,India,,"Super duper price , and using Tide past 9 years . It really cleans all my bed sheets , covers ,curtain superb product.",product,0.049753793,0.800000012,0.800000012,Quality
B07ZQDFG9R,RP,5.0 out of 5 stars,Got it on deal.,29/10/2022 00:00,India,,"Super duper price , and using Tide past 9 years . It really cleans all my bed sheets , covers ,curtain superb product.",bed sheets,0.031338904,0.699999988,0.699999988,
B07ZQDFG9R,Shweta Daya,4.0 out of 5 stars,As a customer Request for price low,28/10/2022 00:00,India,,Want to buy 10kg of 3 Bags *Tide* but the cost is too high,Tide,0.419115722,0,0,
B07ZQDFG9R,Shweta Daya,4.0 out of 5 stars,As a customer Request for price low,28/10/2022 00:00,India,,Want to buy 10kg of 3 Bags *Tide* but the cost is too high,Bags,0.414638221,0,0,
B07ZQDFG9R,RP,5.0 out of 5 stars,Got it on deal.,29/10/2022 00:00,India,,"Super duper price , and using Tide past 9 years . It really cleans all my bed sheets , covers ,curtain superb product.",covers,0.070641756,0.699999988,0.699999988,
B07ZQDFG9R,Shweta Daya,4.0 out of 5 stars,As a customer Request for price low,28/10/2022 00:00,India,,Want to buy 10kg of 3 Bags *Tide* but the cost is too high,cost,0.166246057,0.200000003,0.200000003,Pricing
B07ZNQNBZN,shobha kini,3.0 out of 5 stars,Could do with a lttle fragrance  for sure,27/06/2020 00:00,India,,Cleans fine...the smell though is not good...it would help if the liquid had a good fragrance  like that of Ariel liquid detergent..,liquid,0.079602368,0.300000012,0.300000012,
B07ZNQNBZN,shobha kini,3.0 out of 5 stars,Could do with a lttle fragrance  for sure,27/06/2020 00:00,India,,Cleans fine...the smell though is not good...it would help if the liquid had a good fragrance  like that of Ariel liquid detergent..,Cleans,0.265301526,0.200000003,0.200000003,Quality
B07ZNQNBZN,Harsha,3.0 out of 5 stars,Not really good,09/10/2020 00:00,India,,The only good thing about it is the price. It is cheaper than surf... But neither it cleans now it has any fragrance.... Keep it as a backup option,thing,0.965667605,0.699999988,1.399999976,
