ASIN,Date,Lowest Selling Price,Highest Selling Price,Last Known Lowest Selling Price,Last Known Highest Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B09VS262LC,2023-01-31,,,1886.0,1987.0,13662.0,,0.0,1.0
B09VS262LC,2023-02-01,1886.0,1987.0,1886.0,1987.0,14790.0,13662.0,0.0,1.0
B09VRWHXWT,2023-01-31,,,1729.0,1730.0,26783.0,,0.0,1.0
B09VRWHXWT,2023-02-01,1686.0,1730.0,1729.0,1730.0,27525.0,26783.0,0.0,1.0
B09VRR6FRR,2023-01-31,,,2983.0,3143.0,9396.0,,0.0,1.0
B09VRR6FRR,2023-02-01,2983.0,3143.0,2983.0,3143.0,10577.0,9396.0,0.0,1.0
B09VRRFP9W,2023-01-31,,,5741.0,6624.0,,,0.0,1.0
B09VRRFP9W,2023-02-01,5741.0,6624.0,5741.0,6624.0,,,0.0,1.0
B09VS7FTM4,2023-01-31,1715.0,1715.0,1715.0,1715.0,9846.0,,0.0,1.0
B09VS7FTM4,2023-02-01,1715.0,1715.0,1715.0,1715.0,10898.0,9846.0,0.0,1.0
B09VRWLGKY,2023-01-31,,,3512.0,4590.0,14386.0,,0.0,1.0
B09VRWLGKY,2023-02-01,4051.0,4590.0,3512.0,4590.0,8427.0,14386.0,0.0,1.0
B09VRZ4CT7,2023-01-31,,,1428.0,1482.0,8726.0,,0.0,1.0
B09VRZ4CT7,2023-02-01,1428.0,1482.0,1428.0,1482.0,9954.0,8726.0,0.0,1.0
B09SY31Z22,2023-01-31,,,1001.0,1089.0,22634.0,,0.0,1.0
B09SY31Z22,2023-02-01,1001.0,1089.0,1001.0,1089.0,23278.0,22634.0,0.0,1.0
B09SY2TP29,2023-01-31,,,3888.0,4942.0,26242.0,,0.0,1.0
B09SY2TP29,2023-02-01,3888.0,4942.0,3888.0,4942.0,27146.0,26242.0,0.0,1.0
B09S3MVNCY,2023-01-31,,,1362.0,1605.0,6002.0,,0.0,1.0
B09S3MVNCY,2023-02-01,1362.0,1605.0,1362.0,1605.0,2932.0,6002.0,0.0,1.0
B09VRWBKFS,2023-01-31,,,2066.0,2067.0,34930.0,,0.0,1.0
B09VRWBKFS,2023-02-01,2066.0,2067.0,2066.0,2067.0,35558.0,34930.0,0.0,1.0
B09VRYQY18,2023-01-31,,,2835.0,2992.0,18634.0,,0.0,1.0
B09VRYQY18,2023-02-01,2835.0,2992.0,2835.0,2992.0,19236.0,18634.0,0.0,1.0
B09VRPYHD1,2023-01-31,,,1987.0,2094.0,36244.0,,0.0,1.0
B09VRPYHD1,2023-02-01,1987.0,2094.0,1987.0,2094.0,36870.0,36244.0,0.0,1.0
B09SY39BSN,2023-01-31,,,1225.0,1295.0,10450.0,,0.0,1.0
B09SY39BSN,2023-02-01,1225.0,1295.0,1225.0,1295.0,11669.0,10450.0,0.0,1.0
B09VRT9J88,2023-01-31,,,2231.0,2261.0,37032.0,,0.0,1.0
B09VRT9J88,2023-02-01,2231.0,2261.0,2231.0,2261.0,37626.0,37032.0,0.0,1.0
B09VRVSWL6,2023-01-31,,,1356.0,1484.0,6172.0,,0.0,1.0
B09VRVSWL6,2023-02-01,1356.0,1484.0,1356.0,1484.0,7554.0,6172.0,0.0,1.0
B09VS6S3WD,2023-01-31,,,2517.0,3290.0,19074.0,,0.0,1.0
B09VS6S3WD,2023-02-01,2517.0,2906.0,2517.0,3290.0,19434.0,19074.0,0.0,1.0
B09TPN98WB,2023-01-31,,,1757.0,1848.0,12244.0,,0.0,1.0
B09TPN98WB,2023-02-01,1757.0,1848.0,1757.0,1848.0,13232.0,12244.0,0.0,1.0
B09TPM7Z1K,2023-01-31,,,2551.0,2699.0,31104.0,,0.0,1.0
B09TPM7Z1K,2023-02-01,2551.0,2875.0,2551.0,2699.0,3669.0,31104.0,0.0,1.0
B099JHT3JZ,2023-01-31,541.0,541.0,541.0,541.0,9649.0,,0.0,1.0
B099JHT3JZ,2023-02-01,541.0,541.0,541.0,541.0,2786.0,9649.0,0.0,1.0
B09S3PGKY7,2023-01-31,,,2488.0,2497.0,14602.0,,0.0,1.0
B09S3PGKY7,2023-02-01,2488.0,2497.0,2488.0,2497.0,8646.0,14602.0,0.0,1.0
B09VRY5SMX,2023-01-31,,,6237.0,6851.0,6905.0,,0.0,1.0
B09VRY5SMX,2023-02-01,6237.0,6851.0,6237.0,6851.0,6919.0,6905.0,0.0,1.0
B09VYDPQRD,2023-01-31,,,2334.0,2458.0,16211.0,,0.0,1.0
B09VYDPQRD,2023-02-01,2334.0,2458.0,2334.0,2458.0,16772.0,16211.0,0.0,1.0
B09S3BQ2PB,2023-01-31,,,1289.0,1443.0,14342.0,,0.0,1.0
B09S3BQ2PB,2023-02-01,1298.0,1449.0,1289.0,1443.0,15220.0,14342.0,0.0,1.0
B09VS4KSJW,2023-01-31,,,1261.0,1333.0,29876.0,,0.0,1.0
B09VS4KSJW,2023-02-01,1261.0,1333.0,1261.0,1333.0,30387.0,29876.0,0.0,1.0
B09VRXCVWT,2023-01-31,,,1355.0,1468.0,7798.0,,0.0,1.0
B09VRXCVWT,2023-02-01,1355.0,1468.0,1355.0,1468.0,9112.0,7798.0,0.0,1.0
B09VRSQKDX,2023-01-31,,,826.85,1039.0,71604.0,,0.0,1.0
B09VRSQKDX,2023-02-01,827.0,1039.0,826.85,1039.0,71648.0,71604.0,0.0,1.0
B0BFX92341,2023-01-31,,,2369.0,2369.0,,,0.0,1.0
B0BFX92341,2023-02-01,2369.0,2369.0,2369.0,2369.0,,,0.0,1.0
B09S3QDRK2,2023-01-31,,,1968.0,2360.0,55176.0,,0.0,1.0
B09S3QDRK2,2023-02-01,1968.0,2360.0,1968.0,2360.0,55496.0,55176.0,0.0,1.0
B09VS143WN,2023-01-31,,,2592.0,2593.0,5895.0,,0.0,1.0
B09VS143WN,2023-02-01,2588.0,2663.0,2592.0,2593.0,7250.0,5895.0,0.0,1.0
B09VS8MPVK,2023-01-31,,,1266.0,1369.0,29543.0,,0.0,1.0
B09VS8MPVK,2023-02-01,1266.0,1369.0,1266.0,1369.0,30036.0,29543.0,0.0,1.0
B09VS9J582,2023-01-31,,,2677.0,2898.0,14345.0,,0.0,1.0
B09VS9J582,2023-02-01,2677.0,2898.0,2677.0,2898.0,15236.0,14345.0,0.0,1.0
B09VS3VWLQ,2023-01-31,,,2835.0,2992.0,18634.0,,0.0,1.0
B09VS3VWLQ,2023-02-01,2835.0,2992.0,2835.0,2992.0,19236.0,18634.0,0.0,1.0
B09VS35LRJ,2023-01-31,,,3822.0,3834.0,5780.0,,0.0,1.0
B09VS35LRJ,2023-02-01,3822.0,3834.0,3822.0,3834.0,7419.0,5780.0,0.0,1.0
B09S3NH2XS,2023-01-31,,,1972.0,2545.0,12354.0,,0.0,1.0
B09S3NH2XS,2023-02-01,1972.0,2545.0,1972.0,2545.0,3296.0,12354.0,0.0,1.0
B09VY9GK6T,2023-01-31,2593.0,2593.0,2593.0,2593.0,5895.0,,0.0,1.0
B09VY9GK6T,2023-02-01,2593.0,2593.0,2593.0,2593.0,7320.0,5895.0,0.0,1.0
B09VS1N4W1,2023-01-31,,,1729.0,1730.0,26783.0,,0.0,1.0
B09VS1N4W1,2023-02-01,1729.0,1730.0,1729.0,1730.0,26783.0,26783.0,0.0,1.0
B09TPNXTFP,2023-01-31,,,3936.0,4087.0,14532.0,,0.0,1.0
B09TPNXTFP,2023-02-01,3936.0,4087.0,3936.0,4087.0,15466.0,14532.0,0.0,1.0
B09S3MVYG4,2023-01-31,,,2572.0,2730.0,39966.0,,0.0,1.0
B09S3MVYG4,2023-02-01,2572.0,2730.0,2572.0,2730.0,40598.0,39966.0,0.0,1.0
B09VRTDCF2,2023-01-31,,,3512.0,3514.0,13315.0,,0.0,1.0
B09VRTDCF2,2023-02-01,3512.0,3514.0,3512.0,3514.0,14324.0,13315.0,0.0,1.0
B09VRY21BN,2023-01-31,,,5018.0,5286.0,11066.0,,0.0,1.0
B09VRY21BN,2023-02-01,5018.0,5286.0,5018.0,5286.0,12114.0,11066.0,0.0,1.0
B09VRTH51K,2023-01-31,,,3060.0,3224.0,51917.0,,0.0,1.0
B09VRTH51K,2023-02-01,3060.0,3224.0,3060.0,3224.0,51917.0,51917.0,0.0,1.0
B09TPKC78Q,2023-01-31,,,2951.0,3744.0,17088.0,,0.0,1.0
B09TPKC78Q,2023-02-01,2951.0,3744.0,2951.0,3744.0,10620.0,17088.0,0.0,1.0
B09VS4G8X8,2023-01-31,2152.0,2152.0,2152.0,2152.0,35142.0,,0.0,1.0
B09VS4G8X8,2023-02-01,2152.0,2152.0,2152.0,2152.0,35828.0,35142.0,0.0,1.0
B09GPBL93S,2023-01-31,3977.0,3977.0,3977.0,3977.0,,,0.0,1.0
B09GPBL93S,2023-02-01,3977.0,3977.0,3977.0,3977.0,,,0.0,1.0
B09VRX9XZH,2023-01-31,2815.0,2815.0,2815.0,2815.0,110908.0,,0.0,1.0
B09VRX9XZH,2023-02-01,2815.0,2815.0,2815.0,2815.0,111050.0,110908.0,0.0,1.0
B0BM6PV95M,2023-01-31,,,7869.0,7869.0,41935.0,,0.0,1.0
B0BM6PV95M,2023-02-01,8434.0,8434.0,7869.0,7869.0,42694.0,41935.0,0.0,1.0
B09VYG9LRF,2023-01-31,,,2593.0,2732.0,57692.0,,0.0,1.0
B09VYG9LRF,2023-02-01,2593.0,2732.0,2593.0,2732.0,58022.0,57692.0,0.0,1.0
B09TPMZMVL,2023-01-31,,,6251.0,7061.0,40116.0,,0.0,1.0
B09TPMZMVL,2023-02-01,6251.0,7061.0,6251.0,7061.0,40664.0,40116.0,0.0,1.0
B09S3PPNGK,2023-01-31,,,1362.0,1605.0,6002.0,,0.0,1.0
B09S3PPNGK,2023-02-01,1362.0,1605.0,1362.0,1605.0,2932.0,6002.0,0.0,1.0
B09VS2MPT4,2023-01-31,,,2983.0,3223.0,6207.0,,0.0,1.0
B09VS2MPT4,2023-02-01,2983.0,3223.0,2983.0,3223.0,7434.0,6207.0,0.0,1.0
B09VS198VB,2023-01-31,,,2576.0,2585.0,9178.0,,0.0,1.0
B09VS198VB,2023-02-01,2576.0,2585.0,2576.0,2585.0,10300.0,9178.0,0.0,1.0
B09S3NBLNH,2023-01-31,,,1376.0,1559.0,11576.0,,0.0,1.0
B09S3NBLNH,2023-02-01,1376.0,1559.0,1376.0,1559.0,12401.0,11576.0,0.0,1.0
B09SY5MDF6,2023-01-31,,,1456.0,1534.0,16778.0,,0.0,1.0
B09SY5MDF6,2023-02-01,1456.0,1534.0,1456.0,1534.0,16782.0,16778.0,0.0,1.0
B09SY68X2S,2023-01-31,1530.0,1530.0,1530.0,1530.0,,,0.0,1.0
B09SY68X2S,2023-02-01,1530.0,1530.0,1530.0,1530.0,,,0.0,1.0
B09VS19JPS,2023-01-31,5631.0,5631.0,5631.0,5631.0,,,0.0,1.0
B09VS19JPS,2023-02-01,5631.0,5631.0,5631.0,5631.0,,,0.0,1.0
B09VR8WPNH,2023-01-31,1442.0,1442.0,1442.0,1442.0,,,0.0,1.0
B09VR8WPNH,2023-02-01,1442.0,1442.0,1442.0,1442.0,,,0.0,1.0
B09VRHWJCX,2023-01-31,,,1442.0,1520.0,,,0.0,1.0
B09VRHWJCX,2023-02-01,1442.0,1520.0,1442.0,1520.0,,,0.0,1.0
B09VRCS6SP,2023-01-31,1614.0,1614.0,1614.0,1614.0,5421.0,,0.0,1.0
B09VRCS6SP,2023-02-01,1614.0,1614.0,1614.0,1614.0,5421.0,5421.0,0.0,1.0
B09VS8MP9W,2023-01-31,,,3550.0,3747.0,113893.0,,0.0,1.0
B09VS8MP9W,2023-02-01,3550.0,3747.0,3550.0,3747.0,113983.0,113893.0,0.0,1.0
B09VS143JM,2023-01-31,,,1886.0,2307.0,,,0.0,1.0
B09VS143JM,2023-02-01,1886.0,2307.0,1886.0,2307.0,,,0.0,1.0
B07SXG98HX,2023-01-31,,,1529.0,1619.0,2876.0,,0.0,1.0
B07SXG98HX,2023-02-01,1529.0,1619.0,1529.0,1619.0,2392.0,2876.0,0.0,1.0
B08T1KTZST,2023-01-31,828.0,828.0,828.0,828.0,2738.0,,0.0,1.0
B08T1KTZST,2023-02-01,828.0,828.0,828.0,828.0,3550.0,2738.0,0.0,1.0
B09S6PK96M,2023-01-31,,,764.44,809.0,2869.0,,0.0,1.0
B09S6PK96M,2023-02-01,764.0,809.0,764.44,809.0,2391.0,2869.0,0.0,1.0
B098XB17D4,2023-01-31,,,1499.0,1499.0,2322.0,,0.0,1.0
B098XB17D4,2023-02-01,1499.0,1499.0,1499.0,1499.0,2584.0,2322.0,0.0,1.0
B08358ST4J,2023-01-31,1560.0,1560.0,1560.0,1560.0,8763.0,,0.0,1.0
B08358ST4J,2023-02-01,1560.0,1560.0,1560.0,1560.0,9296.0,8763.0,0.0,1.0
B08359NKHY,2023-01-31,1149.0,1149.0,1149.0,1149.0,5562.0,,0.0,1.0
B08359NKHY,2023-02-01,1149.0,1149.0,1149.0,1149.0,6293.0,5562.0,0.0,1.0
B09PRVGCNH,2023-01-31,,,809.0,879.0,2261.0,,0.0,1.0
B09PRVGCNH,2023-02-01,809.0,879.0,809.0,879.0,1812.0,2261.0,0.0,1.0
B07V5GDXK5,2023-01-31,,,1034.0,1193.0,5114.0,,0.0,1.0
B07V5GDXK5,2023-02-01,1034.0,1193.0,1034.0,1193.0,6346.0,5114.0,0.0,1.0
B0B5ZC28B4,2023-01-31,,,1399.0,2799.0,10674.0,,0.0,1.0
B0B5ZC28B4,2023-02-01,1399.0,2799.0,1399.0,2799.0,11875.0,10674.0,0.0,1.0
B09NP55J9T,2023-01-31,,,954.04,999.0,5768.0,,0.0,1.0
B09NP55J9T,2023-02-01,954.0,999.0,954.04,999.0,1985.0,5768.0,0.0,1.0
B08T19J9N4,2023-01-31,,,958.65,1239.0,7180.0,,0.0,1.0
B08T19J9N4,2023-02-01,959.0,1239.0,958.65,1239.0,8422.0,7180.0,0.0,1.0
B09NP6YJP4,2023-01-31,2000.0,2000.0,2000.0,2000.0,532.0,,0.0,1.0
B09NP6YJP4,2023-02-01,2000.0,2000.0,2000.0,2000.0,656.0,532.0,0.0,1.0
B09NP7471B,2023-01-31,,,1619.0,1779.0,6817.0,,0.0,1.0
B09NP7471B,2023-02-01,1619.0,1779.0,1619.0,1779.0,2958.0,6817.0,0.0,1.0
B08T25J1V8,2023-01-31,,,719.26,809.0,8294.0,,0.0,1.0
B08T25J1V8,2023-02-01,719.0,809.0,719.26,809.0,9485.0,8294.0,0.0,1.0
B09NP6NWRC,2023-01-31,,,2925.48,3148.0,3696.0,,0.0,1.0
B09NP6NWRC,2023-02-01,2925.0,3148.0,2925.48,3148.0,3388.0,3696.0,0.0,1.0
B07SXCDC5Y,2023-01-31,,,679.0,709.0,6446.0,,0.0,1.0
B07SXCDC5Y,2023-02-01,679.0,709.0,679.0,709.0,7342.0,6446.0,0.0,1.0
B0957SPNDT,2023-01-31,929.0,929.0,929.0,929.0,7111.0,,0.0,1.0
B0957SPNDT,2023-02-01,929.0,929.0,929.0,929.0,8018.0,7111.0,0.0,1.0
B09D78QLT8,2023-01-31,,,1279.05,1499.0,7338.0,,0.0,1.0
B09D78QLT8,2023-02-01,1279.0,1499.0,1279.05,1499.0,3054.0,7338.0,0.0,1.0
B0957RJW5Z,2023-01-31,,,889.0,889.0,6708.0,,0.0,1.0
B0957RJW5Z,2023-02-01,889.0,889.0,889.0,889.0,8055.0,6708.0,0.0,1.0
B07MHXGXTW,2023-01-31,,,679.36,799.0,5115.0,,0.0,1.0
