ASIN,Title,Brand,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Lowest Original Price,Highest Original Price,Latest Lowest Selling Price,Latest Hightest Selling Price,Last Day Lowest Selling Price,Last Day Highest Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B09VRHWJCX,Fabindia Women Salwar,Fabindia,,,,NA,NA,1442,1520,1442,1520,1442,1520,,0,NA,1,Bottom Wear,
B09VRCS6SP,Fabindia Women Salwar,Fabindia,5457,,,NA,NA,1614,1614,1614,1614,1614,1614,5433,0,Fulfilled,1,Salwar Suits,
B09VS8MP9W,Fabindia womens Kurta Set,Fabindia,114044,,,NA,NA,3550,3747,3550,3747,3550,3747,113922,0,NA,1,Kurtas & Kurtis,
B09VS143JM,Fabindia girls Kurta Set,Fabindia,,,,NA,NA,1886,2307,1886,2307,1886,2307,,0,NA,1,Kurtas & Kurtis,
B07SXG98HX,BIBA Women's Straight Kurta,Biba,3009,63,4.2,NA,NA,1529,1619,1529,1619,1529,1619,1776,0,NA,1,,
B08T1KTZST,BIBA Women's Cotton Regular Kurta,Biba,2603,107,4.3,NA,NA,828,828,828,828,828,828,4496,0,NA,1,Kurtas & Kurtis,
B09S6PK96M,BIBA Women Shirt,Biba,1155,2,5,NA,NA,764.44,809,764.44,809,764.44,809,3627,0,NA,1,Shirts,
B098XB17D4,BIBA Women Cotton Salwar Kurta Dupatta (Skdikat Bag7483_Yellow_34),Biba,3213,19,4,NA,NA,2999,2999,1499,1499,1499,1499,1955,0,Fulfilled,1,Kurtas & Kurtis,
B08358ST4J,BIBA Women's Synthetic Regular Kurta,Biba,9493,30,4.1,NA,NA,1560,1560,1560,1560,1560,1560,9098,0,NA,1,Kurtas & Kurtis,
B08359NKHY,BIBA Women's Cotton Straight Kurta,Biba,6571,120,4,NA,NA,1149,1149,1149,1149,1149,1149,6015,0,NA,1,Kurtas & Kurtis,
B09PRVGCNH,BIBA Women's Rayon Regular Kurti,Biba,1685,2,4.5,NA,NA,809,879,809,879,809,879,1940,0,NA,1,Kurtas & Kurtis,
B07V5GDXK5,BIBA Womens Collared Printed Kurta,Biba,6785,55,4,NA,NA,1034,1193,1034,1193,1034,1193,5907,0,NA,1,Kurtas & Kurtis,
B0B5ZC28B4,BIBA Women Shirt,Biba,12442,1,5,NA,NA,1399,2799,1399,2799,1399,2799,11308,0,NA,1,Kurtas & Kurtis,
B09NP55J9T,BIBA Women's Rayon Regular Kurta,Biba,1916,9,4.5,NA,NA,954.04,999,954.04,999,954.04,999,2054,0,NA,1,Kurtas & Kurtis,
B08T19J9N4,BIBA Women's Cotton Regular Kurta,Biba,8895,3,4.6,NA,NA,958.65,1239,958.65,1239,958.65,1239,7949,0,NA,1,Kurtas & Kurtis,
B09NP6YJP4,BIBA Women's Cotton Salwar Kurta Dupatta,Biba,705,2,5,NA,NA,2000,2000,2000,2000,2000,2000,606,0,NA,1,Salwar Suits,
B09NP7471B,BIBA Women's Rayon Salwar Kurta Dupatta,Biba,3795,2,4.5,NA,NA,1619,1779,1619,1779,1619,1779,2122,0,NA,1,Kurtas & Kurtis,
B08T25J1V8,BIBA Women Kurta,Biba,9942,1,5,NA,NA,719.26,809,719.26,809,719.26,809,9028,0,NA,1,Kurtas & Kurtis,
B09NP6NWRC,BIBA Women's Cotton Salwar Kurta Dupatta,Biba,2117,3,4.6,NA,NA,2925.48,3148,2925.48,3148,2925.48,3148,4659,0,NA,1,Kurtas & Kurtis,
B07SXCDC5Y,BIBA Women's Straight Kurta,Biba,7682,106,4.1,NA,NA,679,709,679,709,679,709,7003,0,NA,1,Kurtas & Kurtis,
