ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B09KBVNTQD,Anupama Mall,1.0 out of 5 stars,Worthless of money,08/04/2022 00:00,India,,Please it's  request  to no one purchase the blue star company  product only brand name product is worst .,brand name product,0.231350183,-0.600000024,0.600000024,
B09KBVNTQD,Anupama Mall,1.0 out of 5 stars,Worthless of money,08/04/2022 00:00,India,,Please it's  request  to no one purchase the blue star company  product only brand name product is worst .,request,0.469677538,-0.600000024,0.600000024,Service
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",Bule,0.1421251,-0.5,0.5,
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",faliour,0.116974272,-0.5,0.5,
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",generator,0.232860476,-0.5,0.5,
B09KBVJ51Y,Amani,1.0 out of 5 stars,It's not at all good,06/06/2022 00:00,India,,"It's a waste product .i suggest not to buy this product,it works well for only 6months that means upto first service,after that it starts giving troubles , i suggest better to find other purifier ""don't take this""",troubles,0.016028212,-0.100000001,0.100000001,
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",money,0.217046976,-0.400000006,0.400000006,Pricing
B09KBVJ51Y,Amani,1.0 out of 5 stars,It's not at all good,06/06/2022 00:00,India,,"It's a waste product .i suggest not to buy this product,it works well for only 6months that means upto first service,after that it starts giving troubles , i suggest better to find other purifier ""don't take this""",waste product,0.817487836,0,0.400000006,Quality
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",issue,0.0739462,-0.5,0.5,
B09KBVJ51Y,Amani,1.0 out of 5 stars,It's not at all good,06/06/2022 00:00,India,,"It's a waste product .i suggest not to buy this product,it works well for only 6months that means upto first service,after that it starts giving troubles , i suggest better to find other purifier ""don't take this""",product,0.063539505,-0.100000001,0.100000001,Quality
B09KBVJ51Y,Amani,1.0 out of 5 stars,It's not at all good,06/06/2022 00:00,India,,"It's a waste product .i suggest not to buy this product,it works well for only 6months that means upto first service,after that it starts giving troubles , i suggest better to find other purifier ""don't take this""",purifier,0.055439856,0,0,
B09KBVJ51Y,Amani,1.0 out of 5 stars,It's not at all good,06/06/2022 00:00,India,,"It's a waste product .i suggest not to buy this product,it works well for only 6months that means upto first service,after that it starts giving troubles , i suggest better to find other purifier ""don't take this""",service,0.047504596,0,0,Service
B09KBVJ51Y,Anish singh,1.0 out of 5 stars,they are making customers fool,15/05/2022 00:00,India,," Within 4-5 months it starts sounding like a generator and Within 4-5 months Bule star wants money to fix the issue, they don't want to accept their faliour",star,0.217046976,-0.5,0.5,
B09JP5F7NR,Amit Kumar Bansal,4.0 out of 5 stars,Its original,06/04/2022 00:00,India,,"Nice one, but input and output in same direction",direction,0.211810976,-0.100000001,0.100000001,
B09JP5F7NR,Amit Kumar Bansal,4.0 out of 5 stars,Its original,06/04/2022 00:00,India,,"Nice one, but input and output in same direction",output,0.379217952,-0.200000003,0.200000003,
B09JP5F7NR,Amit Kumar Bansal,4.0 out of 5 stars,Its original,06/04/2022 00:00,India,,"Nice one, but input and output in same direction",input,0.408971041,-0.300000012,0.300000012,
B09JP5F7NR,Sushil Gawde,1.0 out of 5 stars,March 2019 manufactured old product,26/04/2022 00:00,India,,March 2019 manufactured old product and it's MRP is 500 not 550. Cheated.,MRP,0.163106993,0,0,Pricing
B09JP5F7NR,Sushil Gawde,1.0 out of 5 stars,March 2019 manufactured old product,26/04/2022 00:00,India,,March 2019 manufactured old product and it's MRP is 500 not 550. Cheated.,product,0.836893022,0,0.100000001,Quality
B09JNX8DD4,Devisuchitrareddy,1.0 out of 5 stars,Irresponsible  service,16/03/2022 00:00,India,,"For installation service man demanding for money,,,after 30 min of instalation water leakage started,,no response  from service team",money,0.232693136,-0.200000003,0.200000003,Pricing
B09JNX8DD4,Devisuchitrareddy,1.0 out of 5 stars,Irresponsible  service,16/03/2022 00:00,India,,"For installation service man demanding for money,,,after 30 min of instalation water leakage started,,no response  from service team",response,0.117280975,-0.300000012,0.300000012,
B09JNX8DD4,Hrishikesh Gaikwad,5.0 out of 5 stars,Good But vibration sound irritates,29/03/2022 00:00,India,,Good product to buy in this range... Just one thing i noticed... Dont turn it on at 35 degree or more than that.. It switches of when filteration done... And its vibration sound irritates a lot. Thank you,range,0.227806583,0.400000006,0.400000006,
B09JNX8DD4,Hrishikesh Gaikwad,5.0 out of 5 stars,Good But vibration sound irritates,29/03/2022 00:00,India,,Good product to buy in this range... Just one thing i noticed... Dont turn it on at 35 degree or more than that.. It switches of when filteration done... And its vibration sound irritates a lot. Thank you,thing,0.112442166,-0.100000001,0.100000001,
B09JNX8DD4,Hrishikesh Gaikwad,5.0 out of 5 stars,Good But vibration sound irritates,29/03/2022 00:00,India,,Good product to buy in this range... Just one thing i noticed... Dont turn it on at 35 degree or more than that.. It switches of when filteration done... And its vibration sound irritates a lot. Thank you,vibration sound,0.048284315,-0.200000003,0.200000003,Quality
B09JNX8DD4,Hrishikesh Gaikwad,5.0 out of 5 stars,Good But vibration sound irritates,29/03/2022 00:00,India,,Good product to buy in this range... Just one thing i noticed... Dont turn it on at 35 degree or more than that.. It switches of when filteration done... And its vibration sound irritates a lot. Thank you,lot,0.037378851,-0.400000006,0.400000006,
B09JNX8DD4,Hrishikesh Gaikwad,5.0 out of 5 stars,Good But vibration sound irritates,29/03/2022 00:00,India,,Good product to buy in this range... Just one thing i noticed... Dont turn it on at 35 degree or more than that.. It switches of when filteration done... And its vibration sound irritates a lot. Thank you,filteration,0.021615233,0.100000001,0.100000001,Filteration
B09JNX8DD4,Devisuchitrareddy,1.0 out of 5 stars,Irresponsible  service,16/03/2022 00:00,India,,"For installation service man demanding for money,,,after 30 min of instalation water leakage started,,no response  from service team",installation service man,0.51322943,-0.300000012,0.300000012,Service
B09JNX8DD4,Devisuchitrareddy,1.0 out of 5 stars,Irresponsible  service,16/03/2022 00:00,India,,"For installation service man demanding for money,,,after 30 min of instalation water leakage started,,no response  from service team",service team,0.083587237,-0.300000012,0.300000012,Service
B09JNX8DD4,virendra k.,5.0 out of 5 stars,Right choice,18/04/2022 00:00,India,,One of the best RO and service support,service,0.064896397,0.800000012,0.800000012,Service
B09JNX8DD4,Devisuchitrareddy,1.0 out of 5 stars,Irresponsible  service,16/03/2022 00:00,India,,"For installation service man demanding for money,,,after 30 min of instalation water leakage started,,no response  from service team",instalation water leakage,0.05320923,-0.200000003,0.200000003,
B09JNX8DD4,Sampath Reddy,5.0 out of 5 stars,Product is good,08/03/2022 00:00,India,,I purchased pure it few years back this product is very nice and.. water percentage is good.. finally Good product,water percentage,0.751134396,0.600000024,1.299999952,Capacity
B09JNX8DD4,Sampath Reddy,5.0 out of 5 stars,Product is good,08/03/2022 00:00,India,,I purchased pure it few years back this product is very nice and.. water percentage is good.. finally Good product,product,0.248865619,0.600000024,0.600000024,Quality
B09JNX8DD4,hitesh,5.0 out of 5 stars,Product quality is super,03/03/2022 00:00,India,,Both delivery and installation seems was pretty fast than expected. Inspite of remote place post delivery next day installation done.,delivery,0.607254386,0.699999988,0.699999988,Service
B09JNX8DD4,hitesh,5.0 out of 5 stars,Product quality is super,03/03/2022 00:00,India,,Both delivery and installation seems was pretty fast than expected. Inspite of remote place post delivery next day installation done.,installation,0.285776228,0.800000012,0.800000012,Service
B09JNX8DD4,hitesh,5.0 out of 5 stars,Product quality is super,03/03/2022 00:00,India,,Both delivery and installation seems was pretty fast than expected. Inspite of remote place post delivery next day installation done.,installation,0.073842674,0,0,Service
B09JNX8DD4,hitesh,5.0 out of 5 stars,Product quality is super,03/03/2022 00:00,India,,Both delivery and installation seems was pretty fast than expected. Inspite of remote place post delivery next day installation done.,delivery,0.033126716,0,0,Service
