ASIN,Details Tag,Present
B09SPZMNHK,Capacity Name,False
B09SPZMNHK,Net Quantity,True
B09SPZMNHK,Part Number,True
B09SPZMNHK,Form Factor,False
B09SPZMNHK,Assembly Required,False
B09SPZMNHK,Package Dimensions,False
B09SPZMNHK,Annual Energy Consumption,True
B09SPZMNHK,Refrigerator Fresh Food Capacity,True
B09SPZMNHK,Item Dimensions Lxwxh,True
B09SPZMNHK,Country Of Origin,True
B09SPZMNHK,Number Of Drawers,False
B09SPZMNHK,Number Of Puzzle Pieces,False
B09SPZMNHK,Manufacturer,True
B09SPZMNHK,Special Features,True
B09SPZMNHK,Scale,False
B09SPZMNHK,Installation Type,True
B09SPZMNHK,Ice Storage Capacity,False
B09SPZMNHK,Batteries Required,True
B09SPZMNHK,Product Dimensions,False
B09SPZMNHK,Material Type(S),False
B09SPZMNHK,Item Height,False
B09SPZMNHK,Defrost System,True
B09SPZMNHK,Packer,True
B09SPZMNHK,Customer Reviews,True
B09SPZMNHK,Cooling Type,False
B09SPZMNHK,Model Number,False
B09SPZMNHK,Volume Capacity Name,False
B09SPZMNHK,Language:,False
B09SPZMNHK,Date First Available,True
B09SPZMNHK,Control Console,False
B09SPZMNHK,Door Material,False
B09SPZMNHK,Certification,True
B09SPZMNHK,Colour,True
B09SPZMNHK,Noise Level,False
B09SPZMNHK,Voltage,True
B09SPZMNHK,Asin,True
B09SPZMNHK,Freezer Capacity,True
B09SPZMNHK,Capacity,True
B09SPZMNHK,Importer,True
B09SPZMNHK,Manufacturer'S Suggested Maximum Weight,False
B09SPZMNHK,Imported By,False
B09SPZMNHK,Temperature Rating,False
B09SPZMNHK,Material,True
B09SPZMNHK,Remote Control Included?,False
B09SPZMNHK,Wattage,True
B09SPZMNHK,Special Feature,False
B09SPZMNHK,Manufacturer Recommended Age,False
B09SPZMNHK,Item Width,False
B09SPZMNHK,Energy Efficiency,True
B09SPZMNHK,Batteries Included,True
B09SPZMNHK,Door Orientation,True
B06XG9N37B,Drawer Type,False
B06XG9N37B,Best Sellers Rank,True
B06XG9N37B,Batteries,False
B06XG9N37B,Number Of Shelves,True
B06XG9N37B,Brand,True
B06XG9N37B,Bottle Count,False
B06XG9N37B,Item Model Number,False
B06XG9N37B,Color,False
B06XG9N37B,Generic Name,True
B06XG9N37B,Shelf Type,True
B06XG9N37B,Number Of Memory Sticks,False
B06XG9N37B,Included Components,True
B06XG9N37B,Model,True
B06XG9N37B,Item Weight,True
B06XG9N37B,Capacity Name,False
B06XG9N37B,Net Quantity,True
B06XG9N37B,Part Number,True
B06XG9N37B,Form Factor,True
B06XG9N37B,Assembly Required,False
B06XG9N37B,Package Dimensions,False
B06XG9N37B,Annual Energy Consumption,False
B06XG9N37B,Refrigerator Fresh Food Capacity,True
B06XG9N37B,Item Dimensions Lxwxh,True
B06XG9N37B,Country Of Origin,True
B06XG9N37B,Number Of Drawers,False
B06XG9N37B,Number Of Puzzle Pieces,False
B06XG9N37B,Manufacturer,True
B06XG9N37B,Special Features,True
B06XG9N37B,Scale,False
B06XG9N37B,Installation Type,True
B06XG9N37B,Ice Storage Capacity,False
B06XG9N37B,Batteries Required,True
B06XG9N37B,Product Dimensions,False
B06XG9N37B,Material Type(S),False
B06XG9N37B,Item Height,False
B06XG9N37B,Defrost System,True
B06XG9N37B,Packer,True
B06XG9N37B,Customer Reviews,True
B06XG9N37B,Cooling Type,False
B06XG9N37B,Model Number,False
B06XG9N37B,Volume Capacity Name,True
B06XG9N37B,Language:,False
B06XG9N37B,Date First Available,True
B06XG9N37B,Control Console,False
B06XG9N37B,Door Material,False
B06XG9N37B,Certification,True
B06XG9N37B,Colour,True
B06XG9N37B,Noise Level,False
B06XG9N37B,Voltage,False
B06XG9N37B,Asin,True
B06XG9N37B,Freezer Capacity,True
B06XG9N37B,Capacity,True
B06XG9N37B,Importer,True
B06XG9N37B,Manufacturer'S Suggested Maximum Weight,False
B06XG9N37B,Imported By,False
B06XG9N37B,Temperature Rating,False
B06XG9N37B,Material,True
B06XG9N37B,Remote Control Included?,False
B06XG9N37B,Wattage,False
B06XG9N37B,Special Feature,False
B06XG9N37B,Manufacturer Recommended Age,False
B06XG9N37B,Item Width,False
B06XG9N37B,Energy Efficiency,True
B06XG9N37B,Batteries Included,True
B06XG9N37B,Door Orientation,True
B09TRLHWM1,Drawer Type,False
B09TRLHWM1,Best Sellers Rank,True
B09TRLHWM1,Batteries,False
B09TRLHWM1,Number Of Shelves,False
B09TRLHWM1,Brand,True
B09TRLHWM1,Bottle Count,False
B09TRLHWM1,Item Model Number,False
B09TRLHWM1,Color,False
B09TRLHWM1,Generic Name,True
B09TRLHWM1,Shelf Type,True
B09TRLHWM1,Number Of Memory Sticks,False
B09TRLHWM1,Included Components,True
B09TRLHWM1,Model,True
B09TRLHWM1,Item Weight,True
B09TRLHWM1,Capacity Name,False
B09TRLHWM1,Net Quantity,True
B09TRLHWM1,Part Number,True
B09TRLHWM1,Form Factor,False
B09TRLHWM1,Assembly Required,False
B09TRLHWM1,Package Dimensions,False
B09TRLHWM1,Annual Energy Consumption,True
B09TRLHWM1,Refrigerator Fresh Food Capacity,True
