Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Present
Hair growth,-1,MSCFN6WUS8ZZK9WG,"NIVEA Body Lotion, Aloe Hydration  (600 ml)",Nivea Moisturizer,308,,TRUE,FALSE
Hair growth,-1,HOLGH9FZFEUCH6MU,SKOOKUM 4 x Faster Beard Growth oil with 100% Natural Ingredients Based  Hair Oil  (60 ml),Skookum Hair Oil,299,,TRUE,FALSE
Hair growth,-1,MSCET7YRGJPXUHS2,"NIVEA Body Lotion for Very Dry Skin, Nourishing Body Milk with 2x Almond Oil, For Men & Women  (200 ml)",Nivea Moisturizer,169,,TRUE,FALSE
Hair growth,-1,BSTFHGS2BZ4VEFGZ,BOROPLUS Doodh Kesar Body Lotion  (400 ml),Boroplus Moisturizer,176,,TRUE,FALSE
Hair growth,-1,MSCG6NYPD8ZKTFZS,Lakmé Lumi Skin Cream  (30 g),Lakmé Moisturizer,194,,TRUE,FALSE
Hair growth,-1,MSCESXX8ENDF6NGS,NIVEA Soft Moisturizing Cream for all skin types  (300 ml),Nivea Moisturizer,253,,TRUE,FALSE
Hair growth,-1,MSCGGZ5GREMUS4H3,Regolith Advansed Deep Nourish Body Lotion  (100 ml),Regolith Moisturizer,179,,TRUE,FALSE
Hair growth,-1,MSCFQFYHF27S347V,Lakmé Absolute Perfect Radiance Skin Brightening Day Creme,Lakmé Moisturizer,98,99,TRUE,FALSE
Hair growth,-1,HOLG5M8CWBZ3Z9FP,BAJAJ 100% Pure Coconut Oil Hair Oil,Bajaj Hair Oil,164,249,TRUE,FALSE
Hair growth,-1,MSCEZPYFZGJFBGPK,Neutriderm Moisturising Lotion - 125ml  (125 ml),Neutriderm Moisturizer,850,,TRUE,FALSE
Hair growth,-1,SMPEE4QZ96UCKPHZ,DOVE Hair Fall Rescue Shampoo  (650 ml),Dove Shampoo,661,,TRUE,FALSE
Hair growth,-1,MSCFQFYHPYC6GRYW,Lakmé Absolute Perfect Radiance Skin Brightening Day Creme  (50 g),Lakmé Moisturizer,271,,TRUE,FALSE
Hair growth,-1,HOLEUWYDPQYB7Y5T,indulekha Bringha Hair Oil,Indulekha Hair Oil,210,234,TRUE,FALSE
Hair growth,-1,MSCF6Y86XFKRFZDG,NIVEA Body Milk Nourishing Body Lotion 400ml & 120 ml - Pack of 2  (520 ml),Nivea Moisturizer,309,,TRUE,FALSE
Hair growth,-1,HNAGE737Y3QRYZCT,Naturenna Natural Henna & Indigo Powder for Natural Hair Colour & Hair Growth,Naturenna Henna,225,398,TRUE,FALSE
Hair growth,-1,HOLE344H5P8CP2HQ,MAXCARE Virgin Coconut (Cold Pressed) Hair Oil  (500 ml),Maxcare Hair Oil,370,,TRUE,FALSE
Hair growth,-1,HOLFYF6KGEU5FTZC,"BAJAJ Almond Drops Hair Oil enriched with 6X Vitamin E, Reduces Hair Fall, 650 ml Hair Oil",Bajaj Hair Oil,330,415,TRUE,FALSE
Hair growth,-1,HTTGCGS2SF7TSCFN,indulekha Bringha Hair Strengthening Mask  (200 ml),Indulekha Hair Treatment,550,,TRUE,FALSE
Hair growth,-1,HOLG6ATAYUAZJYUR,"Organic Harvest Hair Loss Control Hair Oil, Infused with Organic Onion Oil and a Combination of 13 Organic Natural Oils, Reduces Hair Breakage and Prevents Thinning Hair Oil  (150 ml)",Organic Harvest Hair Oil,387,,TRUE,FALSE
Hair growth,-1,HOLGF3EFYGDVHRRY,REGLET Beard Oil For Beard Hair Growth and Moustache for Men Beard  Hair Oil  (30 ml),Reglet Hair Oil,169,,TRUE,FALSE
Hair growth,-1,HOLFQGRF4GKYHHEU,indulekha Bhringa  Hair Oil,Indulekha Hair Oil,993,1170,TRUE,FALSE
Hair growth,-1,HOLGF4CQJF3UVGXF,Coco Soul Hair Fall Control Ayurvedic Medicine by Makers of Parachute Hair Oil  (95 ml),Coco Soul Hair Oil,349,,TRUE,FALSE
Hair growth,-1,HNAF55R8GNFZYNKH,Indus Valley 100% Natural Henna Leaf Powder - Bulk Jar  (500 g),Indus Valley Henna,381,,TRUE,FALSE
Hair growth,-1,HOLGDZ2JNYHFT7XJ,"Coco Soul Extra Virgin Coconut Oil with Vitamin E Enriched with Almond, Argan & Jojoba Hair Oil  (200 ml)",Coco Soul Hair Oil,300,,TRUE,FALSE
Hair growth,-1,HOLGFQUYGDFM6PRC,SKOOKUM Adivasi Herbal Premium quality hair oil for hair Regrowth (Pack of 2)  Hair Oil,Skookum Hair Oil,168,598,TRUE,FALSE
Hair growth,-1,HOLGAVZEND9EYRRX,Phillauri Black Seed Onion Hair Oil - WITH COMB APPLICATOR - Controls Hair Fall Hair Oil  (200 ml),Phillauri Hair Oil,199,,TRUE,FALSE
