ASIN,username,rating,title,date,description,keyword,importance,sentiment_score,magnitude,Marketplace,likes,dislikes,verified
SMPG2J5GAUGKGA4P,Preya Malviya,5,Awesome,2022-08-07 00:00:00,"I don't think it makes my hair extreme smooth and shiny...but ha it's did it a little bit....the best thing is that after just a single use...it stopped my hair fall, like everyday I was loosing more than 300 strands and after using this there is not a single hair Falling....for hair fall it's bestest for me...bt for shine and smoothness I don't think it's too good....but ha quite good....and I'll definitely edit my review if it's doo something which is claimed by the loreal...",loreal,0.00930140633136034,0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Prayagraj"
SMPG2J5GAUGKGA4P,Preya Malviya,5,Awesome,2022-08-07 00:00:00,"I don't think it makes my hair extreme smooth and shiny...but ha it's did it a little bit....the best thing is that after just a single use...it stopped my hair fall, like everyday I was loosing more than 300 strands and after using this there is not a single hair Falling....for hair fall it's bestest for me...bt for shine and smoothness I don't think it's too good....but ha quite good....and I'll definitely edit my review if it's doo something which is claimed by the loreal...",review,0.00930140633136034,0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Prayagraj"
SMPG2J5GAUGKGA4P,Preya Malviya,5,Awesome,2022-08-07 00:00:00,"I don't think it makes my hair extreme smooth and shiny...but ha it's did it a little bit....the best thing is that after just a single use...it stopped my hair fall, like everyday I was loosing more than 300 strands and after using this there is not a single hair Falling....for hair fall it's bestest for me...bt for shine and smoothness I don't think it's too good....but ha quite good....and I'll definitely edit my review if it's doo something which is claimed by the loreal...",bt,0.00746183143928647,0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Prayagraj"
SMPG2J5GAUGKGA4P,Preya Malviya,5,Awesome,2022-08-07 00:00:00,"I don't think it makes my hair extreme smooth and shiny...but ha it's did it a little bit....the best thing is that after just a single use...it stopped my hair fall, like everyday I was loosing more than 300 strands and after using this there is not a single hair Falling....for hair fall it's bestest for me...bt for shine and smoothness I don't think it's too good....but ha quite good....and I'll definitely edit my review if it's doo something which is claimed by the loreal...",smoothness,0.005839456804096699,0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Prayagraj"
SMPG2J5GAUGKGA4P,Preya Malviya,5,Awesome,2022-08-07 00:00:00,"I don't think it makes my hair extreme smooth and shiny...but ha it's did it a little bit....the best thing is that after just a single use...it stopped my hair fall, like everyday I was loosing more than 300 strands and after using this there is not a single hair Falling....for hair fall it's bestest for me...bt for shine and smoothness I don't think it's too good....but ha quite good....and I'll definitely edit my review if it's doo something which is claimed by the loreal...",shine,0.005839456804096699,0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Prayagraj"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",shampoo,0.3362606465816498,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",people,0.2746853232383728,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",review,0.05964350700378418,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",things,0.05854747071862221,-0.4000000059604645,0.4000000059604645,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",part,0.05005727708339691,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",Reviews,0.04894358664751053,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",somebody,0.04329776391386986,-0.30000001192092896,0.30000001192092896,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",hair,0.04329776391386986,-0.4000000059604645,0.4000000059604645,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",anyone,0.03704692795872688,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Gurugram"
