Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Sponsored,Present
Detergent Powder,21,B0963XJG72,"Surf Excel Matic 3 in 1 Smart Shots 17 pcs, Laundry Detergent Pods for Tough Stain Removal in Front Load & Top Load Washing Machines, Fragrance + Care",Surf Excel,306.00,408.00,Fulfilled,False,True
Detergent Powder,22,B07F9X4S5T,"Surf Excel Matic Front Load Detergent Washing Powder, Specially Designed For Tough Stain Removal In Front Load Machines, 4+2 Kg Free",Surf Excel,1200.00,1240.00,Fulfilled,False,True
Detergent Powder,23,B07PZWWJKK,"Surf Excel Matic Front Load Detergent Washing Powder 3+1 kg , Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,880.00,920.00,Fulfilled,False,True
Detergent Powder,24,B081QSKDRW,Amazon Brand - Presto! Detergent Powder - 8kg,Amazon Brand - Presto!,639.00,999.00,Fulfilled,False,True
Detergent Powder,25,B07PZWWJKK,"Surf Excel Matic Front Load Detergent Washing Powder 3+1 kg , Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,880.00,920.00,Fulfilled,False,True
Detergent Powder,26,B079QJMVPX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 2kg,Tide,230.00,230.00,Fulfilled,False,True
Detergent Powder,27,B01NALS5VE,Ariel Matic Front Load Detergent Washing Powder - 2 kg,Ariel,504.00,530.00,Fulfilled,False,True
Detergent Powder,28,B01MSWRC2C,"Vanish All in One Powder Detergent Booster - 400 g | Removes Stains, Whitens Whites and Brightens Colors",Vanish,183.00,207.00,Fulfilled,False,True
Detergent Powder,29,B071QXZQ9L,Ariel Matic Front Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,1357.00,1420.00,Fulfilled,False,True
Detergent Powder,30,B07F9ZRRJG,"Surf Excel Matic Top Load Detergent Washing Powder 4+2 kg, Specially designed for Tough Stain Removal on Laundry in Washing Machines",Surf Excel,1090.00,1225.00,Fulfilled,False,True
Detergent Powder,31,B07BDN3CCG,"Tide Naturals Lemon and Chandan Detergent Washing Powder, 1kg",Tide,,,NA,False,True
Detergent Powder,32,B07BHH32N7,Ariel Colour Detergent Washing Powder - 1 kg with Free Detergent Washing Powder - 500 g,Ariel,370.00,370.00,Fulfilled,False,True
Detergent Powder,33,B07BHGWPKV,Ariel Complete Detergent Washing Powder - 500 g with Free Detergent Powder - 200 g,Ariel,173.00,173.00,Fulfilled,False,True
Detergent Powder,34,B01C42ZJXO,Henko Stain Champion Oxygen Power Powder- 3 kg with 1 kg Free,Henko,485.00,510.00,Fulfilled,False,True
Detergent Powder,35,B07BDPZKGB,"Ghadi Detergent Powder, 500g",Ghadi,32.00,33.00,NA,False,True
Detergent Powder,36,B07K7NDKK5,"Syclone Matic Top Load Detergent Powder for Washing Machine, 2kg",Syclone,361.90,500.00,Fulfilled,False,True
Detergent Powder,37,B0BJ1XSNDN,Wheel Active 2 In 1 Detergent Powder 1Kg Unique,Generic,73.00,73.00,NA,False,True
Detergent Powder,38,B09HQT6C1Y,KIKGERM Expert Matic Top Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 4KG +2KG FREE (6KG),Kikgerm,899.00,1399.00,Fulfilled,False,True
Detergent Powder,39,B07BHH7JNL,Ariel Colour Detergent Washing Powder - 500 g with Detergent Washing Powder - 200 g,Ariel,165.00,165.00,Fulfilled,False,True
Detergent Powder,40,B08WD21DXF,Henko Matic Top Load Detergent Powder 2Kg (Rs. 75 off),Henko,400.00,440.00,Fulfilled,False,True
Detergent Powder,41,B081QSR8G3,Amazon Brand - Presto! Matic Front Load Detergent Powder - 3 kg,Presto!,410.00,750.00,Fulfilled,False,True
Detergent Powder,42,B0B4DVMCLJ,KIKGERM Expert Matic ADVANCED Top & Front Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 1KG + 250GM FREE,Kikgerm,269.00,339.00,Fulfilled,False,True
Detergent Powder,43,B01MRZZMYD,Ariel Matic Front Load Detergent Washing Powder - 1 kg,Ariel,300.00,309.00,Fulfilled,False,True
Detergent Powder,44,B09R4S4J2X,"JUTTI GHAR Wheel Active 2 In 1 Detergent Powder, 500Gm",Jutti Ghar,36.00,37.00,NA,False,True
Detergent Powder,45,B081QRLY3Y,Amazon Brand - Presto! Matic Top Load Detergent Powder - 3 kg,Presto!,395.00,675.00,Fulfilled,False,True
Detergent Powder,46,B08N2JG1NB,Henko Matic Front Load Detergent Powder - 2kg Pouch,,470.00,530.00,Fulfilled,False,True
Detergent Powder,47,B09SPFGF35,"PERFOsure Ultra wash Detergent Washing Powder 2Kgs, proprietary PrimRose Formula",Perfosure,191.00,249.00,Fulfilled,False,True
Detergent Powder,48,B079GXSVWD,Surf Excel Easy Wash Detergent Powder (1kg),Surf Excel,126.00,142.00,NA,False,True
Detergent Powder,49,B07PXND4T6,"Surf Excel Matic Powder Top Load, 4Kg (3+1Kg), Pack of 1",Surf Excel,790.00,830.00,Fulfilled,False,True
Detergent Powder,50,B010BAHRF4,"RIN Refresh Lemon & Rose Detergent Powder 500 g,RPAA2R3",Rin,48.00,48.00,NA,False,True
Detergent Powder,51,B081QSKDRW,Amazon Brand - Presto! Detergent Powder - 8kg,Amazon Brand - Presto!,639.00,999.00,Fulfilled,False,True
Detergent Powder,52,B07J2MY2T8,"Patanjali Herbal Wash Detergent Powder, 1kg",Patanjali,70.00,70.00,NA,False,True
Detergent Powder,53,B06ZZJ7NVH,Ariel Matic Top Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,960.00, ,NA,False,True
Detergent Powder,54,B0BJ1YFL1R,Wheel Active 2 In 1 Detergent Powder 1Kg (Pack of 3) Unique,Generic,219.00,219.00,NA,False,True
Detergent Powder,55,B07J315X3T,"Patanjali Herbal Wash Detergent Powder, 500g",Patanjali,30.00,30.00,NA,False,True
Detergent Powder,56,B07CPR8B77,"Greenworx Ultra Laundry Powder Pack of 1.5 Kg I Superfine use in top load and front load washing machine, Natural, 100% Biodegradable, Baby Safe, Caustic Free, No Harmful Chemicals, Acid & Phosphate Free, Eco-Friendly, Environment Friendly, Non Toxic, No Fading. plant based surfactant detergent powder.",Greenworx - Bio Cleaning Solutions,349.00,399.00,Fulfilled,False,True
Detergent Powder,57,B079QKYMTY,Tide Plus Double Power Detergent Washing Powder Lemon & Mint 6kg + 2kg FREE,Tide,856.00,925.00,Fulfilled,False,True
Detergent Powder,58,B071QXZQ9L,Ariel Matic Front Load Detergent Washing Powder – 4 Kg+2 KG free,Ariel,1357.00,1420.00,Fulfilled,False,True
Detergent Powder,59,B09HHMB2GH,Love and care Liquid detergent – 950ml (Pack of 2) | for soft woollens | No soda,Love & Care,318.40,398.00,Fulfilled,False,True
Detergent Powder,60,B09HQSSG74,KIKGERM Expert Matic Front Load Detergent Powder | 99.99% Germ Protection | FREE FROM HARMFUL CHEMICALS | Tough Stain Removal in Washing Machines Surf | 4KG +2KG FREE (6KG),Kikgerm,999.00,1589.00,Fulfilled,False,True
Detergent Powder,-1,B07N6NP5K2,Rin Advanced Detergent Powder 7 kg,Rin,590.00,640.00,Fulfilled,,False
Detergent Powder,-1,B0794SSGR5,"Atomic Washing Machine Cleaner Powder/ Descaler/ Tub Cleaner/ Drum Cleaner/ Pack of 2, 150Gm Each.",Atomic,249.00,398.00,Fulfilled,,False
Detergent Powder,-1,B00U2DTWPE,Rin Fresh Lemon and Rose Powder- 1 kg,Rin,103.00,103.00,NA,,False
Detergent Powder,-1,B08WBPD1L4,Ariel Matic Top Load Detergent Washing Powder 3 KG + 1 KG Free,Ariel,855.00,855.00,Fulfilled,,False
Detergent Powder,-1,B0976VFJGR,IFB DSCALE WASHING POWDER 900 GRAM Detergent Powder 9 g,Ifb,330.00,699.00,NA,,False
